Timestamp, People Count, Occupancy
2025-07-30 21:57:31, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:32, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:32, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:32, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:32, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:33, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:33, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:34, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:34, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:35, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:35, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:35, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:35, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:36, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:36, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:36, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:37, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:37, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:38, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:38, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:38, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:38, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:39, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:39, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:39, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:40, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:40, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:40, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:40, Count: 6, Occupancy: 60.00%
2025-07-30 21:57:41, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:41, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:41, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:41, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:42, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:42, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:42, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:43, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:43, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:43, Count: 7, Occupancy: 70.00%
2025-07-30 21:57:44, Count: 7, Occupancy: 70.00%
